video_id,title,description,link,city,cleaned_title,cleaned_description
fLt5cKJelis,How Katz’s Became The Most Legendary Deli In NYC | Legendary Eats,Katz's Delicatessen has been a New York institution since 1888. Producer Spencer Alben visits to taste the legendary pastrami on ...,https://www.youtube.com/watch?v=fLt5cKJelis,New York,How Katzs Became The Most Legendary Deli In NYC Legendary Eats,Katzs Delicatessen has been a New York institution since 1888 Producer Spencer Alben visits to taste the legendary pastrami on
lRGcPJTi_I8,New York vs Chicago Pizza,,https://www.youtube.com/watch?v=lRGcPJTi_I8,New York,New York vs Chicago Pizza,
Ypt6RcK5EkY,10 Must Try NYC Restaurants You Need To Eat In | DON&#39;T Miss These!,"New York City is a food lover's paradise, with thousands of cuisines to explore. From historic Italian restaurants to trendy brunch ...",https://www.youtube.com/watch?v=Ypt6RcK5EkY,New York,10 Must Try NYC Restaurants You Need To Eat In DON39T Miss These,New York City is a food lovers paradise with thousands of cuisines to explore From historic Italian restaurants to trendy brunch
yf8jHN_uc68,Best Restaurants in NYC | A Culinary Tour with a local New Yorker,Join my in-person tours: https://bit.ly/FunkyExperiences Get the FREE 3-day guide: https://bit.ly/FreeNYCItinerary2024 Make the ...,https://www.youtube.com/watch?v=yf8jHN_uc68,New York,Best Restaurants in NYC A Culinary Tour with a local New Yorker,Join my inperson tours Get the FREE 3day guide Make the
uNca5e-86bU,AMAZING Food in New York City - Restaurants You HAVE to Try!,"New York City is the land of amazing food experiences. From pasta made in a wheel of cheese, to a Christmas ornament filled ...",https://www.youtube.com/watch?v=uNca5e-86bU,New York,AMAZING Food in New York City Restaurants You HAVE to Try,New York City is the land of amazing food experiences From pasta made in a wheel of cheese to a Christmas ornament filled
tTRz8IBQnXc,"Where To Eat in LITTLE ITALY, NYC (Like a Local!) 🇮🇹","Let's show you the best places to eat in Manhattan's Little Italy! We'll be joined by Marco, a native New Yorker to visit three ...",https://www.youtube.com/watch?v=tTRz8IBQnXc,New York,Where To Eat in LITTLE ITALY NYC Like a Local,Lets show you the best places to eat in Manhattans Little Italy Well be joined by Marco a native New Yorker to visit three
qWP8T1E_m3A,Trying Every Restaurant on the NYT Top 100 List - Rezdôra #foodie #foodlover #nyc,"Rezdora - Flatiron, NYC don't forget to comment, like and subscribe! ... and follow me elsewhere for more content :) tiktok: ...",https://www.youtube.com/watch?v=qWP8T1E_m3A,New York,Trying Every Restaurant on the NYT Top 100 List Rezdra foodie foodlover nyc,Rezdora Flatiron NYC dont forget to comment like and subscribe and follow me elsewhere for more content tiktok
cwqlfp6PaUQ,What&#39;s NEW in New York City for 2024 (Watch Before You Go!),"What's New in NYC For 2024? We'll share the top new attractions,shows, museums, food and more! SHOP our NEW NYC ...",https://www.youtube.com/watch?v=cwqlfp6PaUQ,New York,What39s NEW in New York City for 2024 Watch Before You Go,Whats New in NYC For 2024 Well share the top new attractionsshows museums food and more SHOP our NEW NYC
X2jakwIVLbY,How a Legendary Chef Runs One of the World&#39;s Most Iconic Restaurants — Mise En Place,"On this episode of Mise En Place, we follow chef Jean-Georges Vongerichten through the kitchen at Jean-Georges, New York to ...",https://www.youtube.com/watch?v=X2jakwIVLbY,New York,How a Legendary Chef Runs One of the World39s Most Iconic Restaurants Mise En Place,On this episode of Mise En Place we follow chef JeanGeorges Vongerichten through the kitchen at JeanGeorges New York to
mX6_R1KIAK0,Only eating at viral food spots for a full day in NYC! #foodie #shorts #eating #viral #friedchicken,,https://www.youtube.com/watch?v=mX6_R1KIAK0,New York,Only eating at viral food spots for a full day in NYC foodie shorts eating viral friedchicken,
